Performance Before Pandemic,Performance During Pandemic,Count
0,2,0
0,3,0
0,4,0
0,5,1
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
1,2,1
1,3,0
1,4,1
1,5,1
1,6,0
1,7,0
1,8,1
1,9,1
1,10,1
2,2,2
2,3,0
2,4,0
2,5,0
2,6,1
2,7,1
2,8,1
2,9,1
2,10,1
3,2,3
3,3,1
3,4,1
3,5,0
3,6,5
3,7,0
3,8,1
3,9,0
3,10,0
4,2,1
4,3,1
4,4,2
4,5,3
4,6,5
4,7,3
4,8,3
4,9,1
4,10,5
5,2,1
5,3,2
5,4,4
5,5,1
5,6,12
5,7,6
5,8,11
5,9,7
5,10,8
6,2,2
6,3,1
6,4,7
6,5,8
6,6,42
6,7,25
6,8,15
6,9,4
6,10,14
7,2,10
7,3,7
7,4,23
7,5,26
7,6,64
7,7,62
7,8,74
7,9,20
7,10,27
8,2,9
8,3,7
8,4,29
8,5,36
8,6,84
8,7,59
8,8,77
8,9,25
8,10,17
9,2,8
9,3,4
9,4,11
9,5,16
9,6,31
9,7,25
9,8,35
9,9,14
9,10,14
